BUYER_STATE,BUYER_COUNTY,CountyFIPS_x,StateFIPS_x,Year,MME,FIP_unique,County,State,Population,county_test,state_abbrev,CountyFIPS_y,StateFIPS_y,CountyName,_merge
CO,boulder,8013,8,2009.0,101324.6859670125,80138,Boulder County,CO,293190.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2010.0,118077.2408294625,80138,Boulder County,CO,295037.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2011.0,123953.1957402,80138,Boulder County,CO,299957.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2012.0,120980.6017599375,80138,Boulder County,CO,304570.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2013.0,109586.2100695125,80138,Boulder County,CO,309323.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2014.0,94184.4356097375,80138,Boulder County,CO,312233.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,broomfield,8014,8,2006.0,10435.2965128625,80148,Broomfield County,CO,48729.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2007.0,13576.2384545,80148,Broomfield County,CO,51526.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2008.0,14928.396103500001,80148,Broomfield County,CO,53181.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2009.0,17694.6671829375,80148,Broomfield County,CO,54789.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2010.0,22853.330041575,80148,Broomfield County,CO,56226.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2011.0,31757.5991302125,80148,Broomfield County,CO,57493.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2012.0,35953.5372952125,80148,Broomfield County,CO,58971.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2013.0,33995.651438175,80148,Broomfield County,CO,60149.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,broomfield,8014,8,2014.0,31351.839997725,80148,Broomfield County,CO,61764.0,Broomfield,CO,8014.0,8.0,Broomfield,both
CO,chaffee,8015,8,2006.0,6401.707879725001,80158,Chaffee County,CO,17087.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2007.0,6499.7595438375,80158,Chaffee County,CO,17377.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2008.0,7384.2495504375,80158,Chaffee County,CO,17573.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2009.0,6578.6194538625,80158,Chaffee County,CO,17852.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2010.0,7220.9160563625,80158,Chaffee County,CO,17808.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2011.0,8507.8435172625,80158,Chaffee County,CO,18028.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2012.0,9042.058815675,80158,Chaffee County,CO,18154.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2013.0,8728.280910225,80158,Chaffee County,CO,18355.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,chaffee,8015,8,2014.0,8546.6821913625,80158,Chaffee County,CO,18451.0,Chaffee,CO,8015.0,8.0,Chaffee,both
CO,cheyenne,8017,8,2006.0,180.1131825,80178,Cheyenne County,CO,1912.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2007.0,205.248165,80178,Cheyenne County,CO,1863.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2008.0,237.34605,80178,Cheyenne County,CO,1881.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2009.0,293.9460375,80178,Cheyenne County,CO,1843.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2010.0,579.77205,80178,Cheyenne County,CO,1833.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2011.0,458.5797375,80178,Cheyenne County,CO,1863.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2012.0,358.240215,80178,Cheyenne County,CO,1872.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2013.0,555.0163125,80178,Cheyenne County,CO,1879.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,cheyenne,8017,8,2014.0,755.27886,80178,Cheyenne County,CO,1846.0,Cheyenne,CO,8017.0,8.0,Cheyenne,both
CO,clear creek,8019,8,2006.0,1399.8193725,80198,Clear Creek County,CO,9042.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,clear creek,8019,8,2007.0,1978.69275,80198,Clear Creek County,CO,9152.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
CO,clear creek,8019,8,2008.0,2121.3759375,80198,Clear Creek County,CO,9138.0,Clear Creek,CO,8019.0,8.0,Clear Creek,both
